num,train1,train2,train3,train4,train5,test1,test2,test3,test4,test5
103,0.6135625,0.616875,0.601625,0.6290625,0.579125,0.6135,0.61375,0.5995,0.637,0.56625,
104,0.608875,0.615,0.59925,0.6231875,0.57975,0.6105,0.61225,0.59675,0.631,0.56675,
105,0.612,0.6135,0.5985625,0.6230625,0.5776875,0.6165,0.61025,0.59675,0.63275,0.56325,
106,0.6119375,0.6135625,0.59825,0.6240625,0.579375,0.61475,0.6075,0.59525,0.63325,0.5645,
107,0.6153125,0.614125,0.5976875,0.621875,0.5818125,0.6165,0.60825,0.59675,0.632,0.5645,
108,0.6145,0.6115,0.6006875,0.6241875,0.583125,0.617,0.6075,0.59875,0.63525,0.5655,
109,0.6153125,0.6128125,0.603,0.6255,0.5774375,0.61875,0.607,0.6035,0.6355,0.5635,
110,0.6209375,0.612,0.6001875,0.6268125,0.5800625,0.62275,0.60575,0.60125,0.6375,0.56425,
111,0.6215,0.6133125,0.599625,0.62825,0.5818125,0.62275,0.609,0.60125,0.638,0.56425,
112,0.615875,0.6140625,0.601125,0.6305625,0.58225,0.61675,0.611,0.6025,0.63875,0.564,
113,0.617375,0.613875,0.604625,0.6270625,0.5811875,0.618,0.60825,0.60475,0.63575,0.56225,
114,0.6136875,0.6089375,0.6033125,0.62825,0.578125,0.61525,0.6045,0.60375,0.63625,0.5605,
115,0.60675,0.606125,0.6029375,0.6269375,0.5774375,0.60875,0.6005,0.60425,0.6355,0.562,
116,0.607,0.6080625,0.60075,0.62625,0.5788125,0.612,0.60275,0.6035,0.63275,0.5645,
117,0.6056875,0.6124375,0.6018125,0.628625,0.578375,0.60875,0.607,0.6045,0.6355,0.5625,
118,0.6071875,0.613625,0.6034375,0.625875,0.5810625,0.61125,0.61,0.603,0.633,0.56475,
119,0.6079375,0.610375,0.6028125,0.6276875,0.581625,0.613,0.606,0.60225,0.6355,0.5625,
120,0.610875,0.612875,0.6035625,0.6260625,0.5793125,0.61425,0.61025,0.60475,0.63475,0.5625,
121,0.6074375,0.6129375,0.6050625,0.6245625,0.5786875,0.612,0.61,0.60525,0.63325,0.56025,
122,0.6073125,0.615125,0.6023125,0.624125,0.581625,0.612,0.6105,0.60325,0.63375,0.5635,
123,0.6099375,0.6148125,0.601875,0.625,0.57725,0.613,0.61225,0.60175,0.6365,0.559,
124,0.6075,0.616375,0.60375,0.623625,0.58,0.61225,0.61375,0.60375,0.6335,0.56175,
125,0.609125,0.617,0.6035625,0.623,0.578875,0.615,0.613,0.604,0.634,0.56075,
126,0.6108125,0.61825,0.603875,0.6235,0.579625,0.6175,0.615,0.604,0.63375,0.5605,
127,0.611875,0.6215,0.6048125,0.6224375,0.577875,0.617,0.619,0.605,0.63075,0.5585,
128,0.6150625,0.6180625,0.603125,0.6235,0.5786875,0.619,0.617,0.603,0.63175,0.55925,
129,0.6166875,0.6169375,0.6045625,0.6204375,0.5788125,0.62075,0.6125,0.6065,0.62925,0.55925,
130,0.6189375,0.614125,0.6039375,0.6228125,0.577875,0.62275,0.61,0.60575,0.6305,0.55875,
131,0.6191875,0.6110625,0.6048125,0.622625,0.579375,0.6235,0.608,0.60675,0.63275,0.55975,
132,0.6183125,0.613125,0.604625,0.619625,0.5816875,0.623,0.609,0.6075,0.627,0.56225,
133,0.6203125,0.6124375,0.6043125,0.621375,0.582375,0.62225,0.60675,0.60675,0.6275,0.5615,
134,0.6203125,0.6141875,0.605125,0.6204375,0.5841875,0.62375,0.607,0.60775,0.628,0.5645,
135,0.6178125,0.613125,0.60475,0.6195625,0.584125,0.621,0.6065,0.6065,0.62675,0.56575,
136,0.6196875,0.6124375,0.603125,0.6155625,0.584125,0.62225,0.60625,0.60475,0.62225,0.5655,
137,0.620625,0.608,0.6055625,0.6155,0.58525,0.62275,0.60225,0.605,0.6225,0.5665,
138,0.623125,0.60975,0.6039375,0.6139375,0.5849375,0.6245,0.60375,0.6055,0.621,0.5675,
139,0.62025,0.6108125,0.6036875,0.6158125,0.5859375,0.6215,0.60425,0.605,0.62275,0.5675,
140,0.6220625,0.6095625,0.604875,0.6165625,0.5855,0.623,0.6025,0.60475,0.6235,0.56675,
141,0.6241875,0.6090625,0.605375,0.6178125,0.585625,0.6255,0.60175,0.60725,0.625,0.5665,
142,0.626625,0.606375,0.606375,0.6169375,0.585,0.62575,0.602,0.60725,0.62625,0.5675,
143,0.626,0.608,0.6080625,0.6165625,0.5825,0.62625,0.60275,0.60925,0.62625,0.56675,
144,0.628,0.6089375,0.609125,0.6169375,0.5838125,0.625,0.605,0.60925,0.6285,0.5685,
145,0.628125,0.6100625,0.61025,0.617125,0.583875,0.628,0.607,0.61125,0.62975,0.56875,
146,0.6298125,0.611125,0.613375,0.6166875,0.5858125,0.6285,0.608,0.614,0.62825,0.57025,
147,0.63075,0.6138125,0.614125,0.616125,0.587375,0.62825,0.608,0.61375,0.62825,0.57,
148,0.6315625,0.6105,0.6140625,0.6158125,0.587625,0.62925,0.60575,0.6145,0.62675,0.57175,
149,0.629625,0.6100625,0.614875,0.6160625,0.5866875,0.62775,0.6055,0.6135,0.628,0.57025,
150,0.6303125,0.6095625,0.615625,0.6174375,0.5874375,0.62825,0.60475,0.61475,0.628,0.57,
